Problem,Model,grader,[TEXT] Dangling Parens,[TEXT] Line too long,[TEXT] Using car cdr,[TEXT] Cond without square brackets,[TEXT] Uninformative local names,[DEFNS] let-expr not at topmost start,[DEFNS] Nesting let-exprs or defines,[DEFNS] Unnecessary let* or letrec exprs,[DEFNS] Unused or useless local vars,[DEFNS] Not defining helpers or local vars,[COND] Nested if-expr instead of cond,[COND] (if COND #t #f),[TRAV] iteration instead of recursion,anon_id
HumaneEval_122_add_elements,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-0.5,0.0,0.0,0,prog_0.rkt
HumaneEval_59_largest_prime_factor,tuned,grader_0,0.0,0.0,0.0,-0.5,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_1.rkt
HumaneEval_5_intersperse,tuned,grader_0,-0.5,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_2.rkt
HumaneEval_27_flip_case,tuned,grader_0,0.0,0.0,-0.5,0.0,0.0,-1,0,0,0,0.0,-2.0,0.0,0,prog_3.rkt
HumaneEval_79_decimal_to_binary,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,0.0,0.0,0.0,0,prog_4.rkt
HumaneEval_4_mean_absolute_deviation,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_5.rkt
HumaneEval_53_add,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_6.rkt
HumaneEval_122_add_elements,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,0.0,0.0,0,prog_7.rkt
HumaneEval_53_add,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_8.rkt
HumaneEval_22_filter_integers,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_9.rkt
HumaneEval_63_fibfib,base,grader_0,0.0,0.0,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_10.rkt
HumaneEval_35_max_element,base,grader_0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,-2.0,0.0,0,prog_11.rkt
HumaneEval_79_decimal_to_binary,base,grader_0,0.0,-1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_12.rkt
HumaneEval_22_filter_integers,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_13.rkt
HumaneEval_13_greatest_common_divisor,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_14.rkt
HumaneEval_4_mean_absolute_deviation,base,grader_0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0.0,0.0,0.0,0,prog_15.rkt
HumaneEval_28_concatenate,tuned,grader_0,0.0,0.0,-0.5,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_16.rkt
HumaneEval_42_incr_list,base,grader_0,0.0,0.0,-0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_17.rkt
HumaneEval_152_compare,base,grader_0,0.0,0.0,0.0,-0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_18.rkt
HumaneEval_23_strlen,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_19.rkt
HumaneEval_51_remove_vowels,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,-3,prog_20.rkt
HumaneEval_157_right_angle_triangle,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_21.rkt
HumaneEval_66_digitSum,base,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1.0,0.0,0.0,0,prog_22.rkt
HumaneEval_157_right_angle_triangle,tuned,grader_0,-0.5,-1.0,0.0,0.0,0.0,0,0,0,0,-1.0,0.0,-1.0,0,prog_23.rkt
HumaneEval_66_digitSum,tuned,grader_0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,prog_24.rkt
